"id","city_name","country_id/id","daily_rate_24h","daily_rate_8h","percentage_for_breakfast","percentage_for_dinner","percentage_for_lunch","expire_on"
"rate_base_cn_shanghai","Shanghai","base.cn","58","39","0.2","0.4","0.4","2025-12-31"
"rate_base_cn_shanghai_2026","Shanghai","base.cn","48","32","0.2","0.4","0.4",""
"rate_base_co","","base.co","34","23","0.2","0.4","0.4",""
"rate_base_cd","","base.cd","65","44","0.2","0.4","0.4",""
"rate_base_cg","","base.cg","62","41","0.2","0.4","0.4","2025-12-31"
"rate_base_cg_2026","","base.cg","53","36","0.2","0.4","0.4",""
"rate_base_cr","","base.cr","60","40","0.2","0.4","0.4",""
"rate_base_hr","","base.hr","46","31","0.2","0.4","0.4",""
"rate_base_cu","","base.cu","51","34","0.2","0.4","0.4",""
"rate_base_cy","","base.cy","42","28","0.2","0.4","0.4",""
"rate_base_cz","","base.cz","32","21","0.2","0.4","0.4",""
"rate_base_dk","","base.dk","75","50","0.2","0.4","0.4",""
"rate_base_dj","","base.dj","65","44","0.2","0.4","0.4",""
"rate_base_do","","base.do","45","30","0.2","0.4","0.4",""
"rate_base_ec","","base.ec","27","18","0.2","0.4","0.4",""
"rate_base_eg","","base.eg","50","33","0.2","0.4","0.4",""
"rate_base_sv","","base.sv","65","44","0.2","0.4","0.4",""
"rate_base_gq","","base.gq","36","24","0.2","0.4","0.4",""
"rate_base_er","","base.er","46","31","0.2","0.4","0.4",""
"rate_base_ee","","base.ee","29","20","0.2","0.4","0.4","2025-12-31"
"rate_base_ee_2026","","base.ee","39","26","0.2","0.4","0.4",""
"rate_base_et","","base.et","44","29","0.2","0.4","0.4",""
"rate_base_fj","","base.fj","32","21","0.2","0.4","0.4",""
"rate_base_fi","","base.fi","54","36","0.2","0.4","0.4",""
"rate_base_fr_dep_92_94","departments 92-94","base.fr","58","39","0.2","0.4","0.4",""
"rate_base_fr_paris","Paris","base.fr","58","39","0.2","0.4","0.4",""
"rate_base_fr","","base.fr","53","36","0.2","0.4","0.4",""
"rate_base_ga","","base.ga","64","43","0.2","0.4","0.4",""
"rate_base_gm","","base.gm","40","27","0.2","0.4","0.4",""
"rate_base_ge","","base.ge","45","30","0.2","0.4","0.4",""
"rate_base_de","","base.de","28","14","0.2","0.4","0.4",""
"rate_base_gh","","base.gh","46","31","0.2","0.4","0.4",""
"rate_base_uk_london","London","base.uk","66","44","0.2","0.4","0.4",""
"rate_base_uk","","base.uk","52","35","0.2","0.4","0.4",""
"rate_base_gr_athens","Athens","base.gr","40","27","0.2","0.4","0.4",""
"rate_base_gr","","base.gr","36","24","0.2","0.4","0.4",""
"rate_base_gt","","base.gt","46","31","0.2","0.4","0.4",""
"rate_base_gn","","base.gn","59","40","0.2","0.4","0.4",""
"rate_base_gw","","base.gw","32","21","0.2","0.4","0.4",""
"rate_base_ht","","base.ht","58","39","0.2","0.4","0.4",""
"rate_base_hn","","base.hn","57","38","0.2","0.4","0.4",""
"rate_base_hu","","base.hu","32","21","0.2","0.4","0.4",""
"rate_base_is","","base.is","62","41","0.2","0.4","0.4",""
"rate_base_in_bangalore","Bangalore","base.in","42","28","0.2","0.4","0.4",""
"rate_base_in_calcutta","Calcutta","base.in","32","21","0.2","0.4","0.4",""
"rate_base_in_chennai","Chennai","base.in","22","15","0.2","0.4","0.4",""
"rate_base_in_mumbai","Mumbai","base.in","53","36","0.2","0.4","0.4",""
"rate_base_in_new_delhi","New Delhi","base.in","46","31","0.2","0.4","0.4",""
"rate_base_in","","base.in","22","15","0.2","0.4","0.4",""
"rate_base_id","","base.id","45","30","0.2","0.4","0.4",""
"rate_base_ir","","base.ir","33","22","0.2","0.4","0.4",""
"rate_base_ie","","base.ie","58","39","0.2","0.4","0.4","2025-12-31"
"rate_base_ie_2026","","base.ie","64","43","0.2","0.4","0.4",""
"rate_base_il","","base.il","66","44","0.2","0.4","0.4","2025-12-31"
"rate_base_il_2026","","base.il","59","40","0.2","0.4","0.4",""
"rate_base_it_milan","Milan","base.it","42","28","0.2","0.4","0.4",""
"rate_base_it","","base.it","42","28","0.2","0.4","0.4",""
"rate_base_it_rome","Rome","base.it","48","32","0.2","0.4","0.4",""
"rate_base_ci","","base.ci","59","40","0.2","0.4","0.4","2025-12-31"
"rate_base_ci_2026","","base.ci","60","40","0.2","0.4","0.4",""
"rate_base_jm","","base.jm","39","26","0.2","0.4","0.4",""
"rate_base_jp","","base.jp","33","22","0.2","0.4","0.4",""
"rate_base_jp_tokyo","Tokyo","base.jp","50","33","0.2","0.4","0.4",""
"rate_base_jo","","base.jo","57","38","0.2","0.4","0.4",""
"rate_base_kz","","base.kz","33","22","0.2","0.4","0.4",""
"rate_base_ke","","base.ke","51","34","0.2","0.4","0.4","2025-12-31"
"rate_base_ke_2026","","base.ke","48","32","0.2","0.4","0.4",""
"rate_base_kp","","base.kp","28","19","0.2","0.4","0.4","2025-12-31"
"rate_base_kp_2026","","base.kp","39","26","0.2","0.4","0.4",""
"rate_base_kr","","base.kr","48","32","0.2","0.4","0.4",""
"rate_base_xk","","base.xk","24","16","0.2","0.4","0.4",""
"rate_base_kw","","base.kw","56","37","0.2","0.4","0.4","2025-12-31"
"rate_base_kw_2026","","base.kw","63","42","0.2","0.4","0.4",""
"rate_base_kg","","base.kg","27","18","0.2","0.4","0.4",""
"rate_base_la","","base.la","35","24","0.2","0.4","0.4",""
"rate_base_lv","","base.lv","35","24","0.2","0.4","0.4","2025-12-31"
"rate_base_lv_2026","","base.lv","46","31","0.2","0.4","0.4",""
"rate_base_lb","","base.lb","69","46","0.2","0.4","0.4",""
"rate_base_ls","","base.ls","28","19","0.2","0.4","0.4",""
"rate_base_lr","","base.lr","65","44","0.2","0.4","0.4",""
"rate_base_ly","","base.ly","63","42","0.2","0.4","0.4",""
"rate_base_li","","base.li","56","37","0.2","0.4","0.4","2025-12-31"
"rate_base_li_2026","","base.li","57","38","0.2","0.4","0.4",""
"rate_base_lt","","base.lt","26","17","0.2","0.4","0.4","2025-12-31"
"rate_base_lt_2026","","base.lt","48","32","0.2","0.4","0.4",""
"rate_base_lu","","base.lu","63","42","0.2","0.4","0.4",""
"rate_base_mg","","base.mg","33","22","0.2","0.4","0.4",""
"rate_base_mw","","base.mw","41","28","0.2","0.4","0.4",""
"rate_base_my","","base.my","36","24","0.2","0.4","0.4",""
"rate_base_mv","","base.mv","70","47","0.2","0.4","0.4",""
"rate_base_ml","","base.ml","38","25","0.2","0.4","0.4","2025-12-31"
"rate_base_ml_2026","","base.ml","42","28","0.2","0.4","0.4",""
"rate_base_mt","","base.mt","46","31","0.2","0.4","0.4","2025-12-31"
"rate_base_mt_2026","","base.mt","59","40","0.2","0.4","0.4",""
"rate_base_mh","","base.mh","63","42","0.2","0.4","0.4","2025-12-31"
"rate_base_mh_2026","","base.mh","45","30","0.2","0.4","0.4",""
"rate_base_mr","","base.mr","35","24","0.2","0.4","0.4",""
"rate_base_mu","","base.mu","44","29","0.2","0.4","0.4",""
"rate_base_mx","","base.mx","48","32","0.2","0.4","0.4","2025-12-31"
"rate_base_mx_2026","","base.mx","40","27","0.2","0.4","0.4",""
"rate_base_md","","base.md","26","17","0.2","0.4","0.4",""
"rate_base_mc","","base.mc","52","35","0.2","0.4","0.4",""
"rate_base_mn","","base.mn","23","16","0.2","0.4","0.4",""
"rate_base_me","","base.me","32","21","0.2","0.4","0.4",""
"rate_base_ma","","base.ma","41","28","0.2","0.4","0.4",""
"rate_base_mz","","base.mz","51","34","0.2","0.4","0.4",""
"rate_base_mm","","base.mm","23","16","0.2","0.4","0.4",""
"rate_base_na","","base.na","30","20","0.2","0.4","0.4","2025-12-31"
"rate_base_na_2026","","base.na","28","19","0.2","0.4","0.4",""
"rate_base_np","","base.np","36","24","0.2","0.4","0.4","2025-12-31"
"rate_base_np_2026","","base.np","33","22","0.2","0.4","0.4",""
"rate_base_nl","","base.nl","47","32","0.2","0.4","0.4","2025-12-31"
"rate_base_nl_2026","","base.nl","58","39","0.2","0.4","0.4",""
"rate_base_nz","","base.nz","58","39","0.2","0.4","0.4",""
"rate_base_ni","","base.ni","46","31","0.2","0.4","0.4",""
"rate_base_ne","","base.ne","42","28","0.2","0.4","0.4",""
"rate_base_ng","","base.ng","46","31","0.2","0.4","0.4","2025-12-31"
"rate_base_ng_2026","","base.ng","52","35","0.2","0.4","0.4",""
"rate_base_no","","base.no","75","50","0.2","0.4","0.4",""
"rate_base_om","","base.om","64","43","0.2","0.4","0.4",""
"rate_base_pk_islamabad","Islamabad","base.pk","23","16","0.2","0.4","0.4",""
"rate_base_pk","","base.pk","34","23","0.2","0.4","0.4",""
"rate_base_pw","","base.pw","51","34","0.2","0.4","0.4",""
"rate_base_pa","","base.pa","41","28","0.2","0.4","0.4",""
"rate_base_pg","","base.pg","59","40","0.2","0.4","0.4",""
"rate_base_py","","base.py","39","26","0.2","0.4","0.4",""
"rate_base_pe","","base.pe","34","23","0.2","0.4","0.4","2025-12-31"
"rate_base_pe_2026","","base.pe","52","35","0.2","0.4","0.4",""
"rate_base_ph","","base.ph","41","28","0.2","0.4","0.4",""
"rate_base_pl_gdansk","Gdansk","base.pl","30","30","0.2","0.4","0.4",""
"rate_base_pl_krakow","Krakow","base.pl","27","18","0.2","0.4","0.4",""
"rate_base_pl","","base.pl","34","23","0.2","0.4","0.4",""
"rate_base_pl_warsaw","Warsaw","base.pl","40","27","0.2","0.4","0.4",""
"rate_base_pl_wroclaw","Wroclaw","base.pl","34","23","0.2","0.4","0.4",""
"rate_base_pt","","base.pt","32","21","0.2","0.4","0.4",""
"rate_base_qa","","base.qa","56","37","0.2","0.4","0.4","2025-12-31"
"rate_base_qa_2026","","base.qa","81","54","0.2","0.4","0.4",""
"rate_base_ro_bucharest","Bucharest","base.ro","32","21","0.2","0.4","0.4",""
"rate_base_ro","","base.ro","27","18","0.2","0.4","0.4",""
"rate_base_ru_moscow","Moscow","base.ru","30","20","0.2","0.4","0.4",""
"rate_base_ru","","base.ru","28","19","0.2","0.4","0.4",""
"rate_base_ru_st_petersburg","St. Petersburg","base.ru","28","19","0.2","0.4","0.4",""
"rate_base_ru_yekatarinburg","Yekatarinburg","base.ru","28","19","0.2","0.4","0.4",""
"rate_base_rw","","base.rw","44","29","0.2","0.4","0.4",""
"rate_base_ws","","base.ws","39","26","0.2","0.4","0.4",""
"rate_base_sm","","base.sm","34","23","0.2","0.4","0.4",""
"rate_base_sa_djidda","Djidda","base.sa","57","38","0.2","0.4","0.4",""
"rate_base_sa","","base.sa","56","37","0.2","0.4","0.4",""
"rate_base_sa_riyadh","Riyadh","base.sa","56","37","0.2","0.4","0.4",""
"rate_base_sn","","base.sn","42","28","0.2","0.4","0.4","2025-12-31"
"rate_base_sn_2026","","base.sn","48","32","0.2","0.4","0.4",""
"rate_base_st","","base.st","36","24","0.2","0.4","0.4",""
"rate_base_rs","","base.rs","27","18","0.2","0.4","0.4",""
"rate_base_sl","","base.sl","57","38","0.2","0.4","0.4",""
"rate_base_sg","","base.sg","71","48","0.2","0.4","0.4",""
"rate_base_sk","","base.sk","33","22","0.2","0.4","0.4",""
"rate_base_si","","base.si","38","25","0.2","0.4","0.4",""
"rate_base_za_cape_town","Cape Town","base.za","33","22","0.2","0.4","0.4",""
"rate_base_za_johannisbourg","Johannisburg","base.za","36","24","0.2","0.4","0.4",""
"rate_base_za","","base.za","29","20","0.2","0.4","0.4",""
"rate_base_ss","","base.ss","51","34","0.2","0.4","0.4",""
"rate_base_es_barcelona","Barcelona","base.es","34","23","0.2","0.4","0.4",""
"rate_base_es_canary_islands","Canary Islands","base.es","36","24","0.2","0.4","0.4",""
"rate_base_es_madrid","Madrid","base.es","42","28","0.2","0.4","0.4",""
"rate_base_es_palma_de_mallorca","Palma de Mallorca","base.es","44","29","0.2","0.4","0.4",""
"rate_base_es","","base.es","34","23","0.2","0.4","0.4",""
"rate_base_lk","","base.lk","36","24","0.2","0.4","0.4",""
"rate_base_sd","","base.sd","33","22","0.2","0.4","0.4",""
"rate_base_se","","base.se","66","44","0.2","0.4","0.4",""
"rate_base_ch_geneve","Geneva","base.ch","66","44","0.2","0.4","0.4","2025-12-31"
"rate_base_ch_geneve_2026","Geneva","base.ch","70","47","0.2","0.4","0.4",""
"rate_base_ch","","base.ch","64","43","0.2","0.4","0.4","2025-12-31"
"rate_base_ch_2026","","base.ch","70","47","0.2","0.4","0.4",""
"rate_base_sy","","base.sy","38","25","0.2","0.4","0.4",""
"rate_base_tw","","base.tw","46","31","0.2","0.4","0.4",""
"rate_base_tj","","base.tj","27","18","0.2","0.4","0.4",""
"rate_base_tz","","base.tz","44","29","0.2","0.4","0.4",""
"rate_base_th","","base.th","36","24","0.2","0.4","0.4",""
"rate_base_tg","","base.tg","39","26","0.2","0.4","0.4","2025-12-31"
"rate_base_tg_2026","","base.tg","36","24","0.2","0.4","0.4",""
"rate_base_to","","base.to","29","20","0.2","0.4","0.4",""
"rate_base_tt","","base.tt","66","44","0.2","0.4","0.4",""
"rate_base_tn","","base.tn","40","27","0.2","0.4","0.4",""
"rate_base_tr_ankara","Ankara","base.tr","32","21","0.2","0.4","0.4",""
"rate_base_tr_izmir","Izmir","base.tr","44","29","0.2","0.4","0.4",""
"rate_base_tr","","base.tr","24","16","0.2","0.4","0.4",""
"rate_base_tm","","base.tm","28","19","0.2","0.4","0.4",""
"rate_base_ug","","base.ug","41","28","0.2","0.4","0.4","2025-12-31"
"rate_base_ug_2026","","base.ug","45","30","0.2","0.4","0.4",""
"rate_base_ua","","base.ua","26","17","0.2","0.4","0.4","2025-12-31"
"rate_base_ua_2026","","base.ua","33","22","0.2","0.4","0.4",""
"rate_base_ae","","base.ae","65","44","0.2","0.4","0.4","2025-12-31"
"rate_base_ae_2026","","base.ae","81","54","0.2","0.4","0.4",""
"rate_base_uy","","base.uy","40","27","0.2","0.4","0.4",""
"rate_base_us_atlanta","Atlanta","base.us","77","52","0.2","0.4","0.4",""
"rate_base_us_boston","Boston","base.us","63","42","0.2","0.4","0.4",""
"rate_base_us_chicago","Chicago","base.us","65","44","0.2","0.4","0.4",""
"rate_base_us_houston","Houston","base.us","62","41","0.2","0.4","0.4",""
"rate_base_us_los_angeles","Los Angeles","base.us","64","43","0.2","0.4","0.4",""
"rate_base_us_miami","Miami","base.us","65","44","0.2","0.4","0.4",""
"rate_base_us_new_york_city","New York City","base.us","66","44","0.2","0.4","0.4",""
"rate_base_us","","base.us","59","40","0.2","0.4","0.4",""
"rate_base_us_san_francisco","San Francisco","base.us","59","40","0.2","0.4","0.4",""
"rate_base_us_washington_dc","Washington D.C.","base.us","66","44","0.2","0.4","0.4",""
"rate_base_uz","","base.uz","34","23","0.2","0.4","0.4","2025-12-31"
"rate_base_uz_2026","","base.uz","32","21","0.2","0.4","0.4",""
"rate_base_ve","","base.ve","45","30","0.2","0.4","0.4","2025-12-31"
"rate_base_ve_2026","","base.ve","51","34","0.2","0.4","0.4",""
"rate_base_vn","","base.vn","36","24","0.2","0.4","0.4",""
"rate_base_ye","","base.ye","24","16","0.2","0.4","0.4",""
"rate_base_zm","","base.zm","38","25","0.2","0.4","0.4",""
"rate_base_zw","","base.zw","63","42","0.2","0.4","0.4",""
