"id","city_name","country_id/id","daily_rate_24h","daily_rate_8h","percentage_for_breakfast","percentage_for_dinner","percentage_for_lunch","expire_on"
"rate_base_af","","base.af","30","20","0.2","0.4","0.4",""
"rate_base_al","","base.al","27","18","0.2","0.4","0.4","2025-12-31"
"rate_base_al_2026","","base.al","33","22","0.2","0.4","0.4",""
"rate_base_dz","","base.dz","47","32","0.2","0.4","0.4",""
"rate_base_ad","","base.ad","41","28","0.2","0.4","0.4","2025-12-31"
"rate_base_ad_2026","","base.ad","45","30","0.2","0.4","0.4",""
"rate_base_ao","","base.ao","40","27","0.2","0.4","0.4",""
"rate_base_ar","","base.ar","35","24","0.2","0.4","0.4","2025-12-31"
"rate_base_ar_2026","","base.ar","42","28","0.2","0.4","0.4",""
"rate_base_am","","base.am","29","20","0.2","0.4","0.4",""
"rate_base_au_canberra","Canberra","base.au","74","49","0.2","0.4","0.4",""
"rate_base_au","","base.au","57","38","0.2","0.4","0.4",""
"rate_base_au_sydney","Sydney","base.au","57","38","0.2","0.4","0.4",""
"rate_base_at","","base.at","50","33","0.2","0.4","0.4",""
"rate_base_az","","base.az","44","29","0.2","0.4","0.4",""
"rate_base_bh","","base.bh","48","32","0.2","0.4","0.4",""
"rate_base_bd","","base.bd","46","31","0.2","0.4","0.4",""
"rate_base_bb","","base.bb","54","36","0.2","0.4","0.4",""
"rate_base_by","","base.by","20","13","0.2","0.4","0.4","2025-12-31"
"rate_base_by_2026","","base.by","21","14","0.2","0.4","0.4",""
"rate_base_be","","base.be","59","40","0.2","0.4","0.4",""
"rate_base_bj","","base.bj","52","35","0.2","0.4","0.4",""
"rate_base_bt","","base.bt","27","18","0.2","0.4","0.4",""
"rate_base_bn","","base.bn","45","30","0.2","0.4","0.4",""
"rate_base_bo","","base.bo","46","31","0.2","0.4","0.4",""
"rate_base_ba","","base.ba","23","16","0.2","0.4","0.4","2025-12-31"
"rate_base_ba_2026","","base.ba","32","21","0.2","0.4","0.4",""
"rate_base_bw","","base.bw","46","31","0.2","0.4","0.4","2025-12-31"
"rate_base_bw_2026","","base.bw","40","27","0.2","0.4","0.4",""
"rate_base_br_brasilia","Brasilia","base.br","51","34","0.2","0.4","0.4",""
"rate_base_br","","base.br","46","31","0.2","0.4","0.4",""
"rate_base_br_rio_de_jeneiro","Rio de Janeiro","base.br","69","46","0.2","0.4","0.4",""
"rate_base_br_sao_paulo","Sao Paulo","base.br","46","31","0.2","0.4","0.4",""
"rate_base_bg","","base.bg","22","15","0.2","0.4","0.4","2025-12-31"
"rate_base_bg_2026","","base.bg","38","25","0.2","0.4","0.4",""
"rate_base_bf","","base.bf","38","25","0.2","0.4","0.4","2025-12-31"
"rate_base_bf_2026","","base.bf","39","26","0.2","0.4","0.4",""
"rate_base_bi","","base.bi","36","24","0.2","0.4","0.4","2025-12-31"
"rate_base_bi_2026","","base.bi","58","39","0.2","0.4","0.4",""
"rate_base_kh","","base.kh","42","28","0.2","0.4","0.4",""
"rate_base_cm","","base.cm","56","37","0.2","0.4","0.4",""
"rate_base_ca_ottawa","Ottawa","base.ca","62","41","0.2","0.4","0.4",""
"rate_base_ca","","base.ca","54","36","0.2","0.4","0.4",""
"rate_base_ca_toronto","Toronto","base.ca","54","36","0.2","0.4","0.4",""
"rate_base_ca_vancouver","Vancouver","base.ca","63","42","0.2","0.4","0.4",""
"rate_base_cv","","base.cv","30","20","0.2","0.4","0.4",""
"rate_base_cf","","base.cf","53","36","0.2","0.4","0.4",""
"rate_base_td","","base.td","42","28","0.2","0.4","0.4",""
"rate_base_cl","","base.cl","44","29","0.2","0.4","0.4",""
"rate_base_cn","","base.cn","48","32","0.2","0.4","0.4","2025-12-31"
"rate_base_cn_2026","","base.cn","48","32","0.2","0.4","0.4",""
"rate_base_cn_beijing","Beijing","base.cn","30","20","0.2","0.4","0.4","2025-12-31"
"rate_base_cn_beijing_2026","Beijing","base.cn","57","38","0.2","0.4","0.4",""
"rate_base_cn_canton","Canton","base.cn","36","24","0.2","0.4","0.4","2025-12-31"
"rate_base_cn_chengu","Chengdu","base.cn","41","28","0.2","0.4","0.4","2025-12-31"
"rate_base_cn_hong_kong","Hong Kong","base.cn","71","48","0.2","0.4","0.4","2025-12-31"
"rate_base_cn_hong_kong_2026","Hong Kong","base.cn","83","56","0.2","0.4","0.4",""
